top - 14:00:41 up 43 min,  1 user,  load average: 0.74, 0.68, 0.64
Tasks: 303 total,   2 running, 284 sleeping,   0 stopped,  17 zombie
%Cpu(s):  7.0 us,  2.3 sy,  0.0 ni, 89.9 id,  0.0 wa,  0.0 hi,  0.8 si,  0.0 st
MiB Mem :  15733.1 total,   8632.4 free,   2789.9 used,   4310.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  11764.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  15585 shakti    20   0   11988   3968   3252 R   6.7   0.0   0:00.01 top
  15584 shakti    20   0    8284    636    548 S   0.0   0.0   0:00.00 timeout
  15583 shakti    20   0    2616    596    524 S   0.0   0.0   0:00.00 sh
  15582 shakti    20   0    2496   1436   1352 S   0.0   0.0   0:00.00 p1
  15576 shakti    20   0    2616    592    524 S   0.0   0.0   0:00.00 sh
  15575 shakti    20   0    8084    584    516 S   0.0   0.0   0:00.00 sleep
  15571 shakti    20   0    9500   3368   3092 S   0.0   0.0   0:00.00 cpuUsag+
  15570 shakti    20   0    2616    592    524 S   0.0   0.0   0:00.00 sh
  15310 root       0 -20       0      0      0 I   0.0   0.0   0:00.02 kworker+
  15250 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  14681 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  14598 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  14594 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  14302 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  14113 shakti    20   0       0      0      0 Z   0.0   0.0   0:00.02 MainThr+
  13978 shakti    20   0       0      0      0 Z   0.0   0.0   0:00.02 MainThr+
  13882 root       0 -20       0      0      0 I   0.0   0.0   0:00.18 kworker+
  13763 shakti    20   0 4257868  21064  12584 S   0.0   0.1   0:00.21 cpptool+
  13486 shakti    20   0 4259584  24008  12608 S   0.0   0.1   0:00.37 cpptool+
  13027 shakti    20   0 1537776 169748  64636 S   0.0   1.1   0:15.43 evince
  12970 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12954 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12884 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12861 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  12687 root      20   0       0      0      0 I   6.7   0.0   0:02.89 kworker+
  12337 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
  11223 shakti    20   0 4261392  56480  29788 S   0.0   0.4   0:00.34 cpptool+
  11165 shakti    20   0   11984   3884   3236 S   6.7   0.0   0:03.38 top
  11134 shakti    20   0   10772   5168   3644 S   0.0   0.0   0:00.01 bash
